location,coordinates,name,room type,room price,number of reviews,minimum nights,availibility,rooms rent by the host
 Palacio,"40.410872477465944, -3.7102589388735887","Bright &Modern 1Bed Apt,Sleeps 3 nr La Latina",Entire home/apt,49,4,2,180,1
 Bellas Vistas,"40.45178738033408, -3.7068786196532115",Apartamento renovado luminoso y completo,Entire home/apt,175,1,1,90,4
 San Diego,"40.393543060882635, -3.6649334779053255",Habitación con artista,Private room,26,1,1,364,1
 Ventas,"40.424664959697665, -3.652438268474036",hermosa habitación muy bien ubicada,Private room,30,4,1,180,3
 Sol,"40.41858089299961, -3.7053218318956564",Cozy 2bedroom apartment on Gran Via,Entire home/apt,72,1,3,0,1
 Sol,"40.41653721307915, -3.7036248331351227",EXTERIOR ROOM W/PRIVATE BATHROOM,Private room,49,5,2,1,5
 El Goloso,"40.53451146308001, -3.701602739932522","Yurta  con encanto, frente Universidad Autónoma.",Entire home/apt,29,4,2,1,1
 Hellín,"40.432916545603746, -3.6166928235339064",Habitación privada Cerca del Wanda,Private room,45,2,1,364,1
 Berruguete,"40.45881091820372, -3.708037928909429",Manu,Private room,35,0,7,365,3
 Palacio,"40.410955592650616, -3.7131768945978876",Bungalow 8- Luxury Apt in Historic ❤ of Madrid,Entire home/apt,150,1,2,0,1
 Numancia,"40.3973083507687, -3.6618472947177523",Hermoso estudio independiente en Madrid.,Private room,50,0,2,364,1
 San Pascual,"40.44415316945162, -3.654619183151743",Habitacion luminosa madrid,Private room,36,1,3,0,1
 Cortes,"40.4128203827814, -3.6954658101875535",Preciosa habitación doble en el centro de Madrid !,Private room,60,0,1,180,2
 Cuatro Caminos,"40.45335429373065, -3.700586847635856",Cozy flat amazing location,Entire home/apt,70,0,1,179,2
 Ventas,"40.42925079724314, -3.6581877968334076",Fantástico piso de 3 habitaciones,Entire home/apt,90,0,2,90,1
 Arapiles,"40.42941440206779, -3.7053337120798373",Maravillosa habitación,Private room,20,1,2,0,1
 Embajadores,"40.410560645318725, -3.7013106268564906",Acogedor apartamento en el centro de Madrid.,Entire home/apt,60,2,2,365,1
 Berruguete,"40.45559289724297, -3.7041547399791956",UNIHAB,Private room,30,0,2,0,1
 Berruguete,"40.45867937653141, -3.710969521940381",Beautiful room in a house of 120m for long term!,Private room,39,0,30,365,7
 Embajadores,"40.409671105302365, -3.7046288402171887",Cozy apartment - Enjoy Madrid right in LAVAPIES,Entire home/apt,100,1,3,0,1
 Fuente del Berro,"40.42977931951669, -3.6629474701865528",Impresionante ático con vistas a Las Ventas,Entire home/apt,150,0,15,180,1
 Cortes,"40.41564015051854, -3.6966232329323954",Gracia por todo.,Entire home/apt,75,0,2,0,2
 Castellana,"40.435454780268316, -3.6868995466359036",Perfectly Located Apartment in Salamanca Quarter,Entire home/apt,120,1,2,180,1
 Palos de Moguer,"40.40174085441773, -3.68942981092763",Bright Apartment Madrid Atocha,Entire home/apt,36,2,3,0,1
 Casco Histórico de Vallecas,"40.37297804849392, -3.624711888593716",Casa Rayo,Entire home/apt,100,0,2,0,1
 Aluche,"40.397692228553844, -3.764069083423031",una casa con  con vistas a la casa de campo,Private room,13,0,1,179,1
 Acacias,"40.40368700994866, -3.7117095347128233",Habitación Indivual en Madrid,Private room,53,0,1,89,1
 Cuatro Caminos,"40.45169433210211, -3.7029174972323284",Habitación privada con baño en Madrid,Private room,40,2,1,364,2
 San Diego,"40.384314657208684, -3.6706216369310876",Acogedora habitación en Entrevias,Private room,50,1,1,90,1
 Arapiles,"40.433868630454576, -3.7056091048679143",Habitación 8mts con lavabo wc propio en habitación,Private room,35,0,1,365,2
 Pueblo Nuevo,"40.42844851432897, -3.6435283955367335","Espectacular habitación privada,céntrica,todo cerk",Private room,52,0,2,180,1
